"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"7.54","1.7175066312997347","2016","09","30"
"7.02","1.8447293447293447","2016","09","30"
"7.54","1.93368700265252","2016","09","30"
"3.77","2.5782493368700266","2016","09","30"
"3.25","2.990769230769231","2016","09","30"
"2.7","5.3999999999999995","2016","09","30"
"5.95","2.3579831932773105","2016","09","30"
"5.4","1.9981481481481478","2016","09","30"
"3.25","3.32","2016","09","30"
"1.61","4.0186335403726705","2016","10","01"
"0.54","11.018518518518517","2016","10","01"
"1.61","1.6770186335403727","2016","10","02"
"1.61","1.6770186335403727","2016","10","02"
"0.54","6.018518518518518","2016","10","05"
"0.54","2.9814814814814814","2016","10","05"
"1.09","2.9816513761467887","2016","10","07"
"0.54","8.0","2016","10","07"
"1.09","2.9816513761467887","2016","10","07"
"1.09","6.91743119266055","2016","10","07"
"2.16","1.25","2016","10","09"
"1.09","2.477064220183486","2016","10","10"
"2.16","1.25","2016","10","11"
"0.54","2.9814814814814814","2016","10","11"
"1.09","2.477064220183486","2016","10","12"
"2.16","1.5046296296296295","2016","10","12"
"0.54","6.981481481481481","2016","10","12"
"1.61","1.6770186335403727","2016","10","12"
"2.7","1.2037037037037037","2016","10","12"
"1.61","1.3416149068322982","2016","10","14"
"2.16","3.7453703703703702","2016","10","15"
"3.25","1.830769230769231","2016","10","15"
"1.09","7.422018348623853","2016","10","15"
"2.7","2.996296296296296","2016","10","15"
"1.61","4.683229813664596","2016","10","15"
"1.09","4.458715596330276","2016","10","16"
"1.61","4.0186335403726705","2016","10","16"
"1.09","1.9816513761467889","2016","10","17"
"0.54","4.0","2016","10","18"
"0.54","4.0","2016","10","21"
"3.77","2.0","2016","10","22"
"0.54","11.018518518518517","2016","10","23"
"1.09","2.9816513761467887","2016","10","23"
"1.61","3.3540372670807455","2016","10","23"
"3.25","1.4953846153846155","2016","10","23"
"3.25","2.32","2016","10","23"
"2.7","2.396296296296296","2016","10","23"
"1.09","4.954128440366972","2016","10","24"
"2.7","3.396296296296296","2016","10","24"
"2.16","2.9953703703703702","2016","10","24"
"2.7","2.2037037037037037","2016","10","24"
"0.54","11.018518518518517","2016","10","24"
"3.25","3.1507692307692308","2016","10","25"
"2.16","2.7546296296296293","2016","10","25"
"2.7","2.996296296296296","2016","10","25"
"2.16","6.9907407407407405","2016","10","25"
"1.09","6.91743119266055","2016","10","25"
"5.95","1.9042016806722688","2016","10","25"
"1.09","6.440366972477063","2016","10","25"
"4.86","2.2201646090534974","2016","10","25"
"1.09","7.422018348623853","2016","10","25"
"1.61","3.3540372670807455","2016","10","25"
"3.25","2.1599999999999997","2016","10","25"
"2.16","3.2499999999999996","2016","10","25"
"3.77","2.145888594164456","2016","10","25"
"1.09","2.477064220183486","2016","10","25"
"1.09","1.9816513761467889","2016","10","27"
"0.54","4.0","2016","10","28"
"0.54","2.9814814814814814","2016","11","05"
"1.61","1.6770186335403727","2016","11","05"
"0.54","2.0185185185185186","2016","11","06"
"1.09","1.4770642201834863","2016","11","07"
"0.54","4.0","2016","11","07"
"0.54","2.0185185185185186","2016","11","07"
"0.54","2.9814814814814814","2016","11","08"
"1.61","1.3416149068322982","2016","11","08"
"1.61","1.6770186335403727","2016","11","08"
"1.61","1.6770186335403727","2016","11","08"
"0.54","2.9814814814814814","2016","11","09"
"1.09","1.4770642201834863","2016","11","09"
"0.54","5.0","2016","11","10"
"0.54","2.0185185185185186","2016","11","10"
"0.54","2.0185185185185186","2016","11","10"
"0.54","2.9814814814814814","2016","11","10"
"2.16","1.7453703703703702","2016","11","11"
"0.54","2.9814814814814814","2016","11","11"
"1.61","3.018633540372671","2016","11","11"
"0.54","5.0","2016","11","12"
"1.09","1.9816513761467889","2016","11","12"
"0.54","2.9814814814814814","2016","11","12"
"1.09","1.0","2016","11","12"
"1.09","1.9816513761467889","2016","11","13"
"0.54","2.9814814814814814","2016","11","13"
"0.54","5.0","2016","11","13"
"0.54","4.0","2016","11","14"
"0.54","2.0185185185185186","2016","11","14"
"1.09","1.9816513761467889","2016","11","14"
"1.09","1.9816513761467889","2016","11","18"
"2.16","2.7546296296296293","2016","11","30"
"3.77","1.1458885941644563","2016","12","01"
"1.09","5.458715596330275","2016","12","01"
"1.09","2.9816513761467887","2016","12","01"
"3.25","3.32","2016","12","04"
"0.54","4.0","2016","12","20"
"0.54","2.9814814814814814","2016","12","20"
"0.54","2.0185185185185186","2016","12","23"
"0.54","2.0185185185185186","2016","12","23"
"2.7","1.2037037037037037","2016","12","23"
"0.54","2.0185185185185186","2016","12","23"
"0.54","8.0","2016","12","23"
"0.54","8.0","2016","12","23"
"8.09","1.333745364647713","2016","12","31"
"0.54","6.981481481481481","2016","12","31"
"1.61","1.6770186335403727","2016","12","31"
"2.16","1.5046296296296295","2017","01","01"
"1.09","1.4770642201834863","2017","01","01"
"1.09","2.477064220183486","2017","01","01"
"0.54","2.0185185185185186","2017","01","02"
"0.54","2.9814814814814814","2017","01","02"
"1.09","2.477064220183486","2017","01","02"
"4.32","1.8726851851851851","2017","01","05"
"5.4","1.9981481481481478","2017","01","05"
"6.47","2.2534775888717156","2017","01","05"
"4.32","2.8703703703703702","2017","01","05"
"3.77","2.716180371352785","2017","01","05"
"1.61","6.3602484472049685","2017","01","05"
"4.32","2.122685185185185","2017","01","05"
"3.77","2.716180371352785","2017","01","05"
"3.25","2.32","2017","01","06"
"4.32","2.3703703703703702","2017","01","06"
"4.32","1.9976851851851853","2017","01","06"
"3.25","2.4892307692307694","2017","01","06"
"6.47","1.5023183925811439","2017","01","06"
"4.32","2.8703703703703702","2017","01","06"
"6.47","2.1684698608964452","2017","01","06"
"5.95","2.0840336134453783","2017","01","06"
"8.09","1.6674907292954264","2017","01","06"
"6.47","1.9165378670788256","2017","01","06"
"9.17","1.7066521264994547","2017","01","06"
"4.32","4.49537037037037","2017","01","06"
"1.61","7.7018633540372665","2017","01","06"
"3.77","2.4323607427055705","2017","01","06"
"3.25","3.1507692307692308","2017","01","06"
"4.86","2.331275720164609","2017","01","06"
"6.47","1.582689335394127","2017","01","06"
"4.86","2.7757201646090532","2017","01","06"
"2.7","3.7925925925925923","2017","01","06"
"4.86","1.7757201646090535","2017","01","06"
"6.47","1.667697063369397","2017","01","06"
"2.7","4.996296296296296","2017","01","06"
"8.63","2.6894553881807646","2017","01","06"
"3.25","3.4861538461538464","2017","01","06"
"3.77","2.2891246684350133","2017","01","06"
"5.95","2.4504201680672266","2017","01","06"
"8.09","1.734239802224969","2017","01","06"
"5.4","2.6999999999999997","2017","01","06"
"6.47","2.2534775888717156","2017","01","06"
"6.47","2.7527047913446676","2017","01","07"
"9.17","2.236641221374046","2017","01","07"
"10.79","1.6506024096385543","2017","01","07"
"10.24","1.94921875","2017","01","07"
"5.95","2.3579831932773105","2017","01","07"
"5.4","2.2962962962962963","2017","01","07"
"5.95","2.2672268907563025","2017","01","07"
"3.77","3.5782493368700266","2017","01","07"
"3.77","2.5782493368700266","2017","01","07"
"8.09","1.5327564894932015","2017","01","07"
"4.86","2.2201646090534974","2017","01","07"
"4.86","2.664609053497942","2017","01","07"
"5.4","2.2962962962962963","2017","01","07"
"8.63","1.5631517960602548","2017","01","07"
"10.24","1.5810546875","2017","01","07"
"8.63","1.6257242178447275","2017","01","07"
"8.63","1.500579374275782","2017","01","07"
"7.54","1.93368700265252","2017","01","07"
"4.86","2.7757201646090532","2017","01","07"
"5.4","2.2962962962962963","2017","01","07"
"3.25","3.32","2017","01","07"
"2.16","2.7546296296296293","2017","01","07"
"1.09","2.477064220183486","2017","01","08"
"0.54","2.0185185185185186","2017","01","09"
"0.54","2.9814814814814814","2017","01","10"
"0.54","2.9814814814814814","2017","01","11"
"0.54","2.9814814814814814","2017","01","11"
"3.25","1.16","2017","01","11"
"1.09","2.477064220183486","2017","01","12"
"0.54","2.0185185185185186","2017","01","12"
"0.54","4.0","2017","01","16"
"0.54","6.018518518518518","2017","01","16"
"1.09","2.9816513761467887","2017","01","18"
"0.54","4.0","2017","01","18"
"1.09","3.458715596330275","2017","01","18"
"1.09","2.477064220183486","2017","01","18"
"1.09","3.458715596330275","2017","01","18"
"0.54","6.981481481481481","2017","01","18"
"1.09","4.954128440366972","2017","01","18"
"2.7","2.396296296296296","2017","01","18"
"1.09","5.458715596330275","2017","01","18"
"1.61","5.024844720496894","2017","01","18"
"3.25","2.6553846153846155","2017","01","18"
"4.86","2.331275720164609","2017","01","18"
"4.32","2.25","2017","01","18"
"2.16","3.4907407407407405","2017","01","18"
"2.16","2.7546296296296293","2017","01","18"
"1.61","2.6832298136645965","2017","01","18"
"2.7","2.396296296296296","2017","01","18"
"4.32","1.6249999999999998","2017","01","19"
"2.16","2.7546296296296293","2017","01","19"
"0.54","6.018518518518518","2017","01","19"
"2.7","1.8","2017","01","19"
"1.09","4.954128440366972","2017","01","19"
"1.09","3.9633027522935778","2017","01","19"
"1.09","4.458715596330276","2017","01","19"
"1.09","4.954128440366972","2017","01","19"
"0.54","4.0","2017","01","19"
"0.54","6.018518518518518","2017","01","19"
"2.7","1.6","2017","01","19"
"3.77","2.145888594164456","2017","01","20"
"0.54","14.981481481481481","2017","01","20"
"2.16","2.9953703703703702","2017","01","20"
"2.16","2.9953703703703702","2017","01","20"
"2.7","3.9962962962962956","2017","01","20"
"5.4","2.2","2017","01","20"
"5.95","2.0840336134453783","2017","01","20"
"5.95","1.6336134453781512","2017","01","20"
"3.77","3.0053050397877983","2017","01","20"
"3.25","2.6553846153846155","2017","01","20"
"3.25","2.8215384615384616","2017","01","20"
"1.09","3.9633027522935778","2017","01","20"
"3.77","1.716180371352785","2017","01","20"
"1.61","4.3602484472049685","2017","01","20"
"1.09","5.458715596330275","2017","01","20"
"1.61","1.6770186335403727","2017","01","21"
"1.09","2.9816513761467887","2017","01","23"
"2.7","1.3962962962962961","2017","01","23"
"0.54","2.9814814814814814","2017","01","23"
"0.54","8.0","2017","01","27"
"0.54","2.9814814814814814","2017","01","30"
"1.09","1.4770642201834863","2017","01","30"
"2.7","1.3962962962962961","2017","01","30"
"1.61","1.3416149068322982","2017","01","30"
"1.61","1.6770186335403727","2017","01","30"
"1.61","1.6770186335403727","2017","01","31"
"6.47","2.001545595054096","2017","02","03"
"5.4","2.398148148148148","2017","02","03"
"7.54","2.0026525198938994","2017","02","03"
"9.17","1.6466739367502725","2017","02","03"
"7.54","1.7891246684350133","2017","02","03"
"3.77","3.0053050397877983","2017","02","03"
"8.09","1.333745364647713","2017","02","03"
"2.7","3.6","2017","02","03"
"2.16","3.7453703703703702","2017","02","03"
"6.47","1.4173106646058733","2017","02","03"
"3.25","3.8153846153846156","2017","02","03"
"6.47","2.085007727975271","2017","02","03"
"7.02","1.537037037037037","2017","02","03"
"1.09","4.954128440366972","2017","02","04"
"1.61","2.6832298136645965","2017","02","04"
"1.61","2.341614906832298","2017","02","07"
"1.09","2.477064220183486","2017","02","07"
"2.16","1.5046296296296295","2017","02","07"
"1.61","2.0186335403726705","2017","02","07"
"0.54","2.0185185185185186","2017","02","08"
"1.09","2.477064220183486","2017","02","08"
"1.09","1.4770642201834863","2017","02","08"
"1.09","1.9816513761467889","2017","02","09"
"0.54","2.9814814814814814","2017","02","09"
"1.09","1.9816513761467889","2017","02","09"
"0.54","2.9814814814814814","2017","02","09"
"0.54","2.9814814814814814","2017","02","09"
"0.54","4.0","2017","02","10"
"0.54","2.9814814814814814","2017","02","10"
"1.09","1.4770642201834863","2017","02","10"
"0.54","4.0","2017","02","13"
"1.09","2.477064220183486","2017","02","17"
"1.09","1.4770642201834863","2017","02","17"
"1.61","1.3416149068322982","2017","02","18"
"2.7","1.2037037037037037","2017","02","18"
"1.61","2.0186335403726705","2017","02","18"
"2.16","1.5046296296296295","2017","02","19"
"2.16","1.7453703703703702","2017","02","19"
"0.54","4.0","2017","02","20"
"4.86","1.3312757201646088","2017","02","20"
"2.16","1.7453703703703702","2017","02","20"
"1.61","2.6832298136645965","2017","02","20"
"2.7","1.6","2017","02","21"
"0.54","8.0","2017","02","21"
"1.61","1.3416149068322982","2017","02","21"
"1.09","2.477064220183486","2017","02","21"
"0.54","2.9814814814814814","2017","02","21"
"1.09","1.9816513761467889","2017","02","22"
"1.09","3.458715596330275","2017","02","22"
"0.54","9.0","2017","02","22"
"1.09","1.9816513761467889","2017","02","22"
"1.61","1.3416149068322982","2017","02","22"
"0.54","2.9814814814814814","2017","02","22"
"1.61","1.0","2017","02","22"
"1.09","1.4770642201834863","2017","02","22"
"1.61","1.3416149068322982","2017","02","22"
"0.54","2.9814814814814814","2017","02","23"
"2.16","1.7453703703703702","2017","02","23"
"2.7","1.6","2017","02","23"
"1.61","2.0186335403726705","2017","02","23"
"2.7","1.2037037037037037","2017","02","23"
"1.61","1.0","2017","02","23"
"1.09","2.477064220183486","2017","02","27"
"1.09","2.477064220183486","2017","02","28"
"2.7","1.2037037037037037","2017","02","28"
"3.25","1.3292307692307692","2017","03","01"
"0.54","2.0185185185185186","2017","03","01"
"0.54","4.0","2017","03","01"
"1.61","2.341614906832298","2017","03","01"
"3.25","2.1599999999999997","2017","03","01"
"3.25","1.6615384615384616","2017","03","01"
"2.16","2.9953703703703702","2017","03","01"
"5.95","1.5411764705882351","2017","03","01"
"4.86","1.2242798353909465","2017","03","01"
"2.16","2.9953703703703702","2017","03","01"
"3.77","1.716180371352785","2017","03","02"
"4.86","1.3312757201646088","2017","03","02"
"2.7","1.8","2017","03","02"
"1.09","3.9633027522935778","2017","03","02"
"4.32","1.7453703703703702","2017","03","02"
"1.09","5.458715596330275","2017","03","02"
"1.09","3.9633027522935778","2017","03","02"
"1.61","2.0186335403726705","2017","03","02"
"1.09","4.458715596330276","2017","03","02"
"1.61","3.3540372670807455","2017","03","02"
"1.61","2.6832298136645965","2017","03","02"
"1.61","3.018633540372671","2017","03","02"
"2.7","2.2037037037037037","2017","03","02"
"2.16","1.7453703703703702","2017","03","02"
"3.25","2.4892307692307694","2017","03","02"
"4.86","2.0","2017","03","03"
"2.7","2.2037037037037037","2017","03","03"
"1.61","4.683229813664596","2017","03","03"
"3.25","1.830769230769231","2017","03","03"
"3.25","1.9907692307692306","2017","03","03"
"1.09","6.91743119266055","2017","03","03"
"3.25","1.9907692307692306","2017","03","03"
"1.09","5.458715596330275","2017","03","03"
"1.61","3.018633540372671","2017","03","03"
"1.61","3.3540372670807455","2017","03","03"
"1.09","5.935779816513761","2017","03","03"
"1.61","4.3602484472049685","2017","03","03"
"1.61","5.024844720496894","2017","03","03"
"3.25","1.830769230769231","2017","03","03"
"3.25","2.4892307692307694","2017","03","03"
"6.47","2.001545595054096","2017","03","03"
"6.47","1.9165378670788256","2017","03","03"
"5.95","2.7210084033613446","2017","03","03"
"4.86","2.2201646090534974","2017","03","03"
"6.47","2.4188562596599694","2017","03","03"
"9.72","1.5534979423868311","2017","03","03"
"4.86","3.0","2017","03","03"
"7.02","1.9216524216524218","2017","03","03"
"6.47","2.3338485316846986","2017","03","03"
"4.86","2.0","2017","03","03"
"4.32","1.8726851851851851","2017","03","03"
"3.25","3.32","2017","03","03"
"4.32","2.25","2017","03","03"
"2.7","2.5999999999999996","2017","03","04"
"3.77","3.5782493368700266","2017","03","04"
"9.17","1.7655398037077428","2017","03","04"
"7.02","1.6923076923076925","2017","03","04"
"8.09","1.5327564894932015","2017","03","04"
"3.25","3.6553846153846155","2017","03","04"
"7.54","1.6445623342175066","2017","03","04"
"9.17","1.529989094874591","2017","03","04"
"6.47","2.085007727975271","2017","03","04"
"1.61","2.341614906832298","2017","03","08"
"3.25","1.9907692307692306","2017","03","08"
"3.25","2.990769230769231","2017","03","08"
"2.7","2.2037037037037037","2017","03","08"
"3.77","2.5782493368700266","2017","03","08"
"3.25","2.32","2017","03","08"
"4.86","2.331275720164609","2017","03","08"
"2.7","4.996296296296296","2017","03","09"
"4.86","2.1069958847736623","2017","03","09"
"3.25","2.8215384615384616","2017","03","09"
"2.7","2.996296296296296","2017","03","09"
"4.32","1.9976851851851853","2017","03","09"
"8.63","1.500579374275782","2017","03","09"
"4.86","2.8868312757201644","2017","03","09"
"3.25","3.32","2017","03","09"
"4.32","2.4976851851851847","2017","03","09"
"4.86","2.4444444444444446","2017","03","09"
"3.25","3.32","2017","03","09"
"5.4","1.8","2017","03","10"
"5.4","1.8","2017","03","10"
"3.25","3.8153846153846156","2017","03","10"
"3.77","1.716180371352785","2017","03","10"
"1.61","4.0186335403726705","2017","03","10"
"1.61","3.018633540372671","2017","03","10"
"2.7","2.7925925925925923","2017","03","10"
"1.61","3.3540372670807455","2017","03","10"
"2.16","2.5","2017","03","10"
"2.7","3.6","2017","03","10"
"3.25","2.6553846153846155","2017","03","10"
"2.16","3.7453703703703702","2017","03","11"
"3.77","2.0","2017","03","11"
"2.7","2.396296296296296","2017","03","11"
"2.7","3.396296296296296","2017","03","11"
"2.16","1.5046296296296295","2017","03","11"
"0.54","2.9814814814814814","2017","03","11"
"2.7","2.396296296296296","2017","03","11"
"1.09","5.458715596330275","2017","03","12"
"2.16","1.7453703703703702","2017","03","12"
"1.61","4.0186335403726705","2017","03","12"
"1.61","3.018633540372671","2017","03","12"
"2.7","2.396296296296296","2017","03","12"
"3.25","1.6615384615384616","2017","03","12"
"1.61","3.3540372670807455","2017","03","12"
"3.77","2.0","2017","03","13"
"2.7","2.5999999999999996","2017","03","13"
"3.25","1.830769230769231","2017","03","13"
"1.61","3.018633540372671","2017","03","13"
"2.16","1.7453703703703702","2017","03","13"
"1.61","3.018633540372671","2017","03","13"
"0.54","9.0","2017","03","13"
"1.61","3.018633540372671","2017","03","13"
"1.61","3.3540372670807455","2017","03","13"
"1.61","2.341614906832298","2017","03","13"
"2.16","1.5046296296296295","2017","03","13"
"2.16","2.5","2017","03","13"
"0.54","2.9814814814814814","2017","03","13"
"2.7","2.0","2017","03","14"
"1.09","3.458715596330275","2017","03","14"
"3.25","1.830769230769231","2017","03","14"
"1.61","3.6956521739130435","2017","03","15"
"1.61","2.341614906832298","2017","03","15"
"1.61","3.3540372670807455","2017","03","15"
"1.09","4.458715596330276","2017","03","15"
"4.86","1.4444444444444442","2017","03","15"
"0.54","6.018518518518518","2017","03","15"
"3.77","1.4323607427055705","2017","03","15"
"0.54","18.0","2017","03","16"
"2.16","3.2499999999999996","2017","03","16"
"1.61","4.683229813664596","2017","03","16"
"2.16","2.9953703703703702","2017","03","16"
"2.16","2.9953703703703702","2017","03","16"
"1.09","4.954128440366972","2017","03","16"
"1.61","2.0186335403726705","2017","03","17"
"2.7","2.0","2017","03","17"
"1.09","3.9633027522935778","2017","03","17"
"1.61","1.6770186335403727","2017","03","31"
"1.61","2.0186335403726705","2017","04","01"
"1.09","1.4770642201834863","2017","04","01"
"1.09","1.4770642201834863","2017","04","01"
"1.09","1.4770642201834863","2017","04","01"
"1.09","1.9816513761467889","2017","04","01"
"0.54","2.9814814814814814","2017","04","01"
"1.09","2.9816513761467887","2017","04","04"
"1.61","2.0186335403726705","2017","04","04"
"3.77","2.0","2017","04","04"
"5.4","1.198148148148148","2017","04","04"
"1.61","2.341614906832298","2017","04","05"
"0.54","5.0","2017","04","05"
"2.16","1.7453703703703702","2017","04","05"
"3.25","1.0","2017","04","05"
"1.09","2.9816513761467887","2017","04","06"
"3.77","2.2891246684350133","2017","04","12"
"1.61","3.3540372670807455","2017","04","12"
"3.25","1.9907692307692306","2017","04","12"
"5.4","2.2962962962962963","2017","04","12"
"2.16","4.7407407407407405","2017","04","12"
"3.25","1.9907692307692306","2017","04","13"
"3.77","2.4323607427055705","2017","04","13"
"8.09","1.400494437577256","2017","04","13"
"4.86","2.1069958847736623","2017","04","13"
"3.77","2.5782493368700266","2017","04","13"
"2.16","3.9953703703703707","2017","04","13"
"2.16","2.5","2017","04","13"
"4.86","2.2201646090534974","2017","04","13"
"4.86","1.551440329218107","2017","04","13"
"0.54","9.0","2017","04","13"
"0.54","11.981481481481481","2017","04","14"
"1.61","3.6956521739130435","2017","04","14"
"3.25","2.1599999999999997","2017","04","14"
"1.09","4.458715596330276","2017","04","14"
"1.61","2.6832298136645965","2017","04","14"
"7.02","1.3062678062678064","2017","04","14"
"5.4","1.8","2017","04","14"
"0.54","4.0","2017","04","14"
"1.09","1.9816513761467889","2017","04","14"
"1.61","2.0186335403726705","2017","04","14"
"1.09","1.4770642201834863","2017","04","14"
"1.61","2.341614906832298","2017","04","14"
"3.25","1.4953846153846155","2017","04","14"
"3.25","2.1599999999999997","2017","04","14"
"2.16","3.4907407407407405","2017","04","14"
"4.86","1.6646090534979423","2017","04","14"
"5.4","1.8","2017","04","14"
"4.86","1.8868312757201644","2017","04","14"
"5.4","1.8962962962962961","2017","04","14"
"5.4","1.8962962962962961","2017","04","15"
"1.09","1.4770642201834863","2017","04","15"
"1.09","2.477064220183486","2017","04","15"
"1.61","1.3416149068322982","2017","04","15"
"1.09","1.4770642201834863","2017","04","16"
"1.61","1.3416149068322982","2017","04","16"
"3.25","1.16","2017","04","16"
"1.09","2.477064220183486","2017","04","16"
"3.77","1.1458885941644563","2017","04","16"
"4.86","1.551440329218107","2017","04","16"
"1.09","1.9816513761467889","2017","04","16"
"2.16","2.9953703703703702","2017","04","17"
"4.32","2.25","2017","04","17"
"2.16","4.24537037037037","2017","04","17"
"3.25","1.9907692307692306","2017","04","17"
"1.09","5.935779816513761","2017","04","18"
"1.61","3.018633540372671","2017","04","18"
"0.54","6.018518518518518","2017","04","18"
"4.86","1.551440329218107","2017","04","18"
"4.86","2.0","2017","04","18"
"3.77","1.5782493368700266","2017","04","18"
"0.54","4.0","2017","04","19"
"3.25","1.4953846153846155","2017","04","19"
"0.54","6.981481481481481","2017","04","19"
"3.25","2.4892307692307694","2017","04","19"
"3.25","2.1599999999999997","2017","04","20"
"2.16","1.5046296296296295","2017","04","20"
"1.09","1.4770642201834863","2017","04","20"
"1.61","1.0","2017","04","20"
"1.61","1.3416149068322982","2017","04","20"
"1.61","3.6956521739130435","2017","04","20"
"1.09","5.935779816513761","2017","04","20"
"1.61","2.0186335403726705","2017","04","20"
"1.61","3.3540372670807455","2017","04","20"
"2.7","3.196296296296296","2017","04","20"
"4.32","1.9976851851851853","2017","04","20"
"4.32","1.9976851851851853","2017","04","20"
