"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.75","2.474285714285714","2015","08","27"
"0.87","4.0","2015","08","28"
"0.87","4.977011494252873","2015","08","28"
"0.87","4.0","2015","08","28"
"0.87","2.9885057471264367","2015","08","29"
"1.75","1.4857142857142858","2015","08","29"
"1.75","2.474285714285714","2015","08","29"
"0.87","2.9885057471264367","2015","08","29"
"1.75","2.474285714285714","2015","08","29"
"1.75","1.9885714285714287","2015","08","30"
"2.6","1.3384615384615384","2015","08","30"
"1.75","1.4857142857142858","2015","08","30"
"0.87","4.0","2015","08","30"
"0.87","2.9885057471264367","2015","08","30"
"0.87","4.0","2015","08","31"
"0.87","2.9885057471264367","2015","08","31"
"0.87","2.0114942528735633","2015","08","31"
"0.87","2.0114942528735633","2015","08","31"
"2.6","1.6653846153846155","2015","08","31"
"1.75","1.4857142857142858","2015","08","31"
"1.75","1.9885714285714287","2015","09","01"
"1.75","1.9885714285714287","2015","09","02"
"1.75","1.9885714285714287","2015","09","03"
"4.33","1.4041570438799076","2015","09","03"
"4.33","1.2032332563510393","2015","09","03"
"2.6","1.6653846153846155","2015","09","04"
"2.6","1.6653846153846155","2015","09","04"
"1.75","2.474285714285714","2015","09","04"
"1.75","2.474285714285714","2015","09","04"
"0.87","4.0","2015","09","05"
"0.87","2.0114942528735633","2015","09","05"
"0.87","2.9885057471264367","2015","09","05"
"1.75","1.4857142857142858","2015","09","05"
"0.87","2.9885057471264367","2015","09","05"
"2.6","1.6653846153846155","2015","09","06"
"0.87","4.0","2015","09","06"
"0.87","4.0","2015","09","06"
"0.87","2.0114942528735633","2015","09","06"
"1.75","2.474285714285714","2015","09","06"
"2.6","1.6653846153846155","2015","09","06"
"2.6","1.3384615384615384","2015","09","06"
"1.75","1.9885714285714287","2015","09","06"
"0.87","2.9885057471264367","2015","09","07"
"0.87","4.977011494252873","2015","09","07"
"0.87","4.0","2015","09","07"
"1.75","1.9885714285714287","2015","09","07"
"1.75","2.9771428571428573","2015","09","07"
"1.75","1.9885714285714287","2015","09","08"
"1.75","2.474285714285714","2015","09","08"
"1.75","1.9885714285714287","2015","09","08"
"2.6","1.6653846153846155","2015","09","08"
"2.6","1.6653846153846155","2015","09","08"
"3.48","1.4971264367816093","2015","09","08"
"3.48","1.4971264367816093","2015","09","09"
"2.6","2.003846153846154","2015","09","09"
"1.75","2.474285714285714","2015","09","09"
"0.87","2.9885057471264367","2015","09","09"
"0.87","4.0","2015","09","09"
"1.75","2.474285714285714","2015","09","09"
"0.87","4.0","2015","09","09"
"1.75","2.474285714285714","2015","09","09"
"0.87","2.9885057471264367","2015","09","09"
"0.87","4.977011494252873","2015","09","09"
"0.87","4.0","2015","09","10"
"0.87","4.0","2015","09","10"
"0.87","2.9885057471264367","2015","09","10"
"0.87","2.0114942528735633","2015","09","11"
"0.87","2.9885057471264367","2015","09","11"
"1.75","2.474285714285714","2015","09","11"
"2.6","2.3384615384615386","2015","09","11"
"0.87","4.0","2015","09","12"
"0.87","4.0","2015","09","12"
"0.87","4.0","2015","09","13"
"0.87","4.0","2015","09","13"
"1.75","1.9885714285714287","2015","09","13"
"3.48","1.4971264367816093","2015","09","13"
"3.48","1.7471264367816093","2015","09","13"
"3.48","1.4971264367816093","2015","09","14"
"2.6","1.6653846153846155","2015","09","14"
"0.87","2.9885057471264367","2015","09","14"
"0.87","2.9885057471264367","2015","09","14"
"0.87","4.0","2015","09","14"
"0.87","4.0","2015","09","14"
"0.87","4.0","2015","09","14"
"1.75","2.9771428571428573","2015","09","14"
"1.75","2.474285714285714","2015","09","15"
"0.87","2.9885057471264367","2015","09","15"
"1.75","2.474285714285714","2015","09","15"
"1.75","1.9885714285714287","2015","09","15"
"1.75","1.9885714285714287","2015","09","15"
"1.75","1.9885714285714287","2015","09","16"
