"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.18","2.0779816513761467","2018","05","23"
"3.03","1.2904290429042906","2018","05","23"
"2.43","1.8641975308641976","2018","05","23"
"4.43","1.9209932279909707","2018","05","24"
"5.03","2.3300198807157058","2018","05","24"
"6.34","1.6309148264984228","2018","05","24"
"7.46","1.3994638069705094","2018","05","24"
"7.99","1.5106382978723405","2018","05","24"
"3.65","1.5506849315068494","2018","05","24"
"1.4","2.3071428571428574","2018","05","25"
"2.68","2.5597014925373136","2018","05","25"
"2.43","1.6090534979423867","2018","05","26"
"4.43","1.3340857787810385","2018","05","26"
"3.23","1.721362229102167","2018","05","27"
"4.0","1.6725","2018","05","27"
"4.0","1.8475","2018","05","27"
"2.88","1.8958333333333335","2018","05","28"
"2.6","1.7423076923076923","2018","05","28"
"4.18","2.5334928229665072","2018","05","28"
"7.74","1.3359173126614987","2018","05","28"
"4.0","1.565","2018","05","29"
"0.87","3.1954022988505746","2018","05","30"
"3.3","1.5242424242424244","2018","05","30"
"2.53","1.4426877470355732","2018","05","30"
"4.96","1.560483870967742","2018","06","01"
"5.66","1.2597173144876324","2018","06","01"
"4.88","1.4057377049180328","2018","06","01"
"2.1","1.3714285714285712","2018","06","01"
"2.18","1.4816513761467889","2018","06","01"
"11.82","1.279187817258883","2018","06","02"
"11.29","1.2772364924712136","2018","06","02"
"5.73","1.319371727748691","2018","06","03"
"3.3","2.503030303030303","2018","06","03"
"7.04","1.518465909090909","2018","06","03"
"4.43","1.4130925507900678","2018","06","03"
"3.3","1.7363636363636366","2018","06","03"
"4.18","1.3708133971291867","2018","06","04"
"3.13","1.4472843450479234","2018","06","07"
"7.91","1.6144121365360302","2018","06","08"
"2.18","2.238532110091743","2018","06","09"
"3.83","1.4516971279373367","2018","06","09"
"4.33","1.7228637413394918","2018","06","11"
"5.03","1.5387673956262424","2018","06","11"
"4.43","1.4514672686230248","2018","06","11"
"1.9","2.568421052631579","2018","06","11"
"2.25","2.2044444444444444","2018","06","11"
"9.12","1.2576754385964914","2018","06","11"
"8.16","1.3627450980392155","2018","06","11"
"3.65","2.0027397260273974","2018","06","11"
"3.13","2.1661341853035143","2018","06","11"
"7.04","1.4190340909090908","2018","06","11"
"7.91","1.2945638432364097","2018","06","11"
"7.74","1.2803617571059431","2018","06","11"
"7.04","1.4332386363636362","2018","06","11"
"6.69","1.5979073243647233","2018","06","11"
"7.66","1.3368146214099217","2018","06","11"
"6.69","1.3139013452914796","2018","06","12"
"9.29","1.2906350914962326","2018","06","12"
"9.56","1.3723849372384935","2018","06","12"
"4.96","2.3326612903225805","2018","06","12"
"2.18","2.9495412844036695","2018","06","12"
"2.6","1.9076923076923076","2018","06","12"
"2.18","2.1926605504587156","2018","06","12"
"4.0","1.39","2018","06","12"
"2.68","1.58955223880597","2018","06","14"
"1.65","1.7454545454545456","2018","06","15"
"1.22","1.7868852459016396","2018","06","15"
"1.9","1.368421052631579","2018","06","15"
"1.65","1.3636363636363638","2018","06","15"
"2.95","1.9423728813559322","2018","06","16"
"6.34","1.3422712933753944","2018","06","16"
"6.86","1.3177842565597666","2018","06","16"
"7.21","1.374479889042996","2018","06","16"
"6.16","1.3246753246753247","2018","06","16"
"4.78","2.0543933054393304","2018","06","22"
"3.48","2.468390804597701","2018","06","22"
"1.9","2.610526315789474","2018","06","22"
"3.56","1.8286516853932584","2018","06","22"
"6.34","1.6703470031545742","2018","06","23"
"5.46","1.4816849816849818","2018","06","23"
"4.88","1.4262295081967213","2018","06","23"
"1.48","1.810810810810811","2018","06","23"
"1.22","1.639344262295082","2018","06","23"
"2.53","1.683794466403162","2018","06","23"
"2.43","1.3580246913580245","2018","06","24"
"1.65","2.6242424242424245","2018","06","24"
"1.3","1.7307692307692306","2018","06","24"
"2.18","1.55045871559633","2018","06","25"
"3.13","1.3610223642172523","2018","06","25"
"2.18","1.8715596330275228","2018","06","25"
"6.01","1.545757071547421","2018","06","26"
"3.38","1.955621301775148","2018","06","26"
"3.03","2.924092409240924","2018","06","26"
"3.03","2.5544554455445545","2018","06","27"
"2.53","1.58102766798419","2018","06","28"
"2.1","1.4047619047619049","2018","06","28"
"0.87","2.413793103448276","2018","06","28"
"0.35","3.0000000000000004","2018","06","28"
"0.7","3.0000000000000004","2018","06","29"
"5.38","1.596654275092937","2018","06","30"
"2.25","2.0133333333333336","2018","06","30"
"2.0","2.165","2018","06","30"
"1.48","2.756756756756757","2018","06","30"
"3.13","1.5271565495207668","2018","07","01"
"3.65","1.5698630136986302","2018","07","01"
"4.78","1.3263598326359831","2018","07","02"
"3.13","1.7763578274760383","2018","07","02"
"1.83","1.46448087431694","2018","07","02"
"1.3","2.3307692307692305","2018","07","02"
"2.53","1.407114624505929","2018","07","02"
"0.7","3.3571428571428577","2018","07","02"
"5.03","1.4831013916500992","2018","07","03"
"4.0","2.1275","2018","07","03"
"5.91","1.470389170896785","2018","07","06"
"5.13","1.557504873294347","2018","07","06"
"3.73","1.4638069705093835","2018","07","06"
"4.33","1.3879907621247112","2018","07","07"
"5.46","2.082417582417582","2018","07","07"
"4.33","1.5450346420323327","2018","07","07"
"4.33","1.6073903002309469","2018","07","07"
"4.96","1.4193548387096775","2018","07","07"
"3.65","1.6465753424657534","2018","07","07"
"3.38","1.6745562130177516","2018","07","08"
"1.9","2.647368421052632","2018","07","08"
"1.48","2.0472972972972974","2018","07","08"
"1.48","1.641891891891892","2018","07","08"
"2.88","1.357638888888889","2018","07","08"
"4.96","1.3669354838709677","2018","07","08"
"2.95","1.383050847457627","2018","07","08"
"2.6","1.6384615384615384","2018","07","08"
"1.4","2.3071428571428574","2018","07","09"
"7.99","1.4042553191489362","2018","07","09"
"9.29","1.356297093649085","2018","07","09"
"8.16","1.3627450980392155","2018","07","09"
"4.08","2.0245098039215685","2018","07","09"
"7.56","1.2883597883597884","2018","07","09"
"8.16","1.2365196078431373","2018","07","09"
"3.3","1.9212121212121214","2018","07","10"
"2.35","1.7361702127659575","2018","07","10"
"2.88","1.625","2018","07","10"
"3.13","1.6070287539936103","2018","07","10"
"5.81","1.7624784853700517","2018","07","11"
"6.86","1.7478134110787171","2018","07","11"
"5.38","1.9553903345724906","2018","07","11"
"8.51","1.5628672150411282","2018","07","11"
"7.04","1.4190340909090908","2018","07","12"
"4.26","1.6737089201877935","2018","07","12"
"4.88","1.514344262295082","2018","07","12"
"4.0","1.585","2018","07","12"
"5.38","1.4386617100371748","2018","07","13"
"2.68","1.8208955223880596","2018","07","13"
"6.43","1.297045101088647","2018","07","14"
"3.13","1.5591054313099042","2018","07","14"
"4.61","1.6941431670281994","2018","07","14"
"0.7","2.6142857142857148","2018","07","15"
"3.65","2.13972602739726","2018","07","15"
"8.51","1.3595769682726204","2018","07","16"
"11.04","1.3061594202898552","2018","07","16"
"11.29","1.2533215234720994","2018","07","16"
"13.37","1.292445774121167","2018","07","16"
"14.42","1.1983356449375868","2018","07","16"
"9.04","1.565265486725664","2018","07","16"
"6.86","1.6720116618075802","2018","07","16"
"9.82","1.30040733197556","2018","07","16"
"10.69","1.292797006548176","2018","07","16"
"7.81","1.323943661971831","2018","07","16"
"3.38","1.517751479289941","2018","07","18"
"2.68","1.3283582089552237","2018","07","18"
"2.88","1.4791666666666667","2018","07","21"
"1.48","1.641891891891892","2018","07","22"
"0.35","3.4857142857142858","2018","07","23"
"5.03","1.3996023856858846","2018","07","23"
"0.87","2.505747126436782","2018","07","24"
"2.68","2.0746268656716413","2018","07","25"
"0.78","2.0","2018","07","25"
"1.9","1.4105263157894739","2018","07","29"
"4.61","1.6399132321041212","2018","07","31"
