"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.97192","2.0","2012","11","21"
"0.97192","2.0","2012","11","21"
"0.97192","2.0","2012","11","21"
"1.94384","1.5","2012","11","21"
"1.94384","1.5","2012","11","21"
"2.91576","1.7333333333333332","2012","11","21"
"1.94384","1.5","2012","11","21"
"2.91576","1.4","2012","11","21"
"1.94384","2.1","2012","11","21"
"1.94384","2.6","2012","11","21"
"1.94384","2.1","2012","11","21"
"1.94384","2.1","2012","11","21"
"1.94384","2.6","2012","11","21"
"2.91576","2.4","2012","11","21"
"1.94384","2.6","2012","11","21"
"1.94384","3.1","2012","11","21"
"1.94384","2.6","2012","11","21"
"1.94384","2.6","2012","11","22"
"2.91576","2.4","2012","11","22"
"1.94384","3.1","2012","11","22"
"2.91576","2.4","2012","11","22"
"2.91576","2.4","2012","11","22"
"2.91576","1.4","2012","11","22"
"1.94384","4.1","2012","11","22"
"4.082064","2.1904761904761902","2012","11","22"
"2.91576","2.733333333333333","2012","11","22"
"4.082064","1.9523809523809523","2012","11","22"
"1.94384","2.1","2012","11","22"
"1.94384","2.6","2012","11","22"
"2.91576","3.4","2012","11","22"
"5.053984","2.7692307692307696","2012","11","22"
"2.91576","3.0666666666666664","2012","11","22"
"4.082064","2.9523809523809526","2012","11","22"
"2.91576","3.4","2012","11","22"
"5.053984","1.9615384615384617","2012","11","22"
"1.94384","2.6","2012","11","22"
"1.94384","2.6","2012","11","22"
"4.082064","2.428571428571429","2012","11","22"
"1.94384","2.1","2012","11","23"
"4.082064","1.9523809523809523","2012","11","23"
"5.053984","1.9615384615384617","2012","11","23"
"2.91576","2.733333333333333","2012","11","23"
"5.053984","2.7692307692307696","2012","11","23"
"6.9978240000000005","2.138888888888889","2012","11","23"
"4.082064","2.1904761904761902","2012","11","23"
"4.082064","1.7142857142857144","2012","11","23"
"2.91576","1.7333333333333332","2012","11","23"
"1.94384","2.1","2012","11","23"
"2.91576","1.4","2012","11","23"
"0.97192","3.0","2012","11","23"
"2.91576","1.7333333333333332","2012","11","23"
"2.91576","1.7333333333333332","2012","11","23"
"4.082064","1.7142857142857144","2012","11","23"
"4.082064","3.1904761904761907","2012","11","23"
"6.9978240000000005","1.7222222222222223","2012","11","23"
"5.053984","2.384615384615385","2012","11","23"
"5.053984","1.7692307692307692","2012","11","23"
"2.91576","2.4","2012","11","23"
"2.91576","2.733333333333333","2012","11","23"
"2.91576","2.4","2012","11","23"
"1.94384","1.5","2012","11","23"
"2.91576","2.066666666666667","2012","11","24"
"2.91576","1.7333333333333332","2012","11","24"
"1.94384","1.5","2012","11","24"
"2.91576","1.7333333333333332","2012","11","24"
"1.94384","2.6","2012","11","24"
"2.91576","2.4","2012","11","24"
"4.082064","1.7142857142857144","2012","11","24"
"1.94384","2.1","2012","11","24"
"0.97192","3.0","2012","11","24"
"2.91576","1.7333333333333332","2012","11","24"
"1.94384","2.1","2012","11","24"
"1.94384","2.1","2012","11","24"
"2.91576","1.0","2012","11","24"
"0.97192","3.0","2012","11","24"
"0.97192","3.0","2012","11","24"
"2.91576","2.066666666666667","2012","11","24"
"2.91576","2.066666666666667","2012","11","24"
"1.94384","2.6","2012","11","24"
"1.94384","2.1","2012","11","24"
"2.91576","1.4","2012","11","24"
"1.94384","2.6","2012","11","24"
"1.94384","1.5","2012","11","25"
"1.94384","2.1","2012","11","25"
"1.94384","2.1","2012","11","25"
"1.94384","2.1","2012","11","25"
"1.94384","2.1","2012","11","25"
"1.94384","1.5","2012","11","25"
"0.97192","5.2","2012","11","25"
"1.94384","3.1","2012","11","25"
"1.94384","2.1","2012","11","25"
"0.97192","3.0","2012","11","25"
"1.94384","3.1","2012","11","25"
"2.91576","2.4","2012","11","25"
"2.91576","2.066666666666667","2012","11","25"
"1.94384","3.1","2012","11","25"
"1.94384","2.1","2012","11","25"
"1.94384","1.5","2012","11","25"
"1.94384","2.6","2012","11","25"
"2.91576","1.7333333333333332","2012","11","25"
"0.97192","3.0","2012","11","25"
"0.97192","4.2","2012","11","25"
"0.97192","3.0","2012","11","25"
"1.94384","3.6","2012","11","25"
"0.97192","4.2","2012","11","26"
"0.97192","3.0","2012","11","26"
"1.94384","2.1","2012","11","26"
"1.94384","1.5","2012","11","26"
"1.94384","2.1","2012","11","26"
"1.94384","1.5","2012","11","26"
"4.082064","1.4761904761904763","2012","11","26"
"1.94384","1.5","2012","11","26"
"2.91576","2.066666666666667","2012","11","26"
"0.97192","3.0","2012","11","26"
"1.94384","2.1","2012","11","26"
"4.082064","1.7142857142857144","2012","11","26"
"0.97192","3.0","2012","11","26"
"0.97192","4.2","2012","11","26"
"1.94384","2.1","2012","11","26"
"0.97192","3.0","2012","11","26"
"0.97192","4.2","2012","11","26"
"0.97192","3.0","2012","11","26"
"0.97192","3.0","2012","11","27"
"0.97192","3.0","2012","11","27"
"2.91576","2.066666666666667","2012","11","27"
"4.082064","1.7142857142857144","2012","11","27"
"1.94384","1.5","2012","11","27"
"1.94384","2.1","2012","11","27"
"2.91576","1.4","2012","11","27"
"2.91576","1.0","2012","11","27"
"2.91576","1.4","2012","11","27"
"2.91576","1.7333333333333332","2012","11","27"
"0.97192","2.0","2012","11","27"
"2.91576","2.066666666666667","2012","11","27"
"1.94384","1.0","2012","11","27"
"1.94384","1.5","2012","11","27"
"2.91576","2.4","2012","11","27"
"1.94384","2.6","2012","11","27"
"4.082064","1.4761904761904763","2012","11","27"
"2.91576","1.7333333333333332","2012","11","27"
"0.97192","2.0","2012","11","27"
"0.97192","2.0","2012","11","27"
"0.97192","3.0","2012","11","27"
"0.97192","3.0","2012","11","27"
"0.97192","4.2","2012","11","28"
"1.94384","2.1","2012","11","28"
"2.91576","2.066666666666667","2012","11","28"
"4.082064","1.7142857142857144","2012","11","28"
"1.94384","2.1","2012","11","28"
"1.94384","2.1","2012","11","28"
"2.91576","2.066666666666667","2012","11","28"
"1.94384","2.1","2012","11","28"
